iter	Logloss
0	0.6763623742
1	0.6600155883
2	0.6440211982
3	0.6293303758
4	0.6143048997
5	0.5998613419
6	0.5858675249
7	0.5722092492
8	0.5590879258
9	0.5463117358
10	0.5339348992
11	0.5220232483
12	0.5103458517
13	0.4991912154
14	0.4881892949
15	0.4774594862
16	0.4671154831
17	0.4570906218
18	0.4475341963
19	0.4381672667
20	0.4290068327
21	0.4202178486
22	0.4117064276
23	0.4033369426
24	0.3952554783
25	0.387541599
26	0.3800349066
27	0.3726918183
28	0.3656309777
29	0.3587280742
30	0.3521380179
31	0.3457245175
32	0.3395593727
33	0.3335503475
34	0.3276136351
35	0.3219443356
36	0.3164259213
37	0.3111326646
38	0.3059223129
39	0.300929245
40	0.2960555526
41	0.291236134
42	0.2866662214
43	0.2823284039
44	0.2780054951
45	0.2738524984
46	0.2698257567
47	0.2660993847
48	0.2622067795
49	0.2585309846
50	0.2549172285
51	0.2514645836
52	0.2480534255
53	0.2447282581
54	0.2415928384
55	0.2384566758
56	0.2354958766
57	0.2326130176
58	0.2297705412
59	0.2269807999
60	0.2242982792
61	0.2217113476
62	0.2191759141
63	0.2168202437
64	0.2143759785
65	0.2120552078
66	0.2098897103
67	0.2077008128
68	0.2055925733
69	0.2035917971
70	0.2015872505
71	0.1995972076
72	0.1976853943
73	0.1958711186
74	0.194081977
75	0.1923056011
76	0.1906075353
77	0.1889308886
78	0.1873193492
79	0.1858097283
80	0.1842663958
81	0.1827489717
82	0.1812768293
83	0.1799061425
84	0.1785102934
85	0.1772352948
86	0.1759678266
87	0.174732029
88	0.173508805
89	0.1723168701
90	0.1711688352
91	0.1700236448
92	0.1689710775
93	0.1679178004
94	0.1669074065
95	0.1659460336
96	0.1649729789
97	0.164043256
98	0.1631039773
99	0.1622089724
100	0.1612975188
101	0.1604678879
102	0.1596168319
103	0.1587439098
104	0.1579053747
105	0.1571230711
106	0.1563846669
107	0.1556669284
108	0.1549556471
109	0.1542490666
110	0.1535428061
111	0.1528654696
112	0.1522038319
113	0.1515164168
114	0.1508639554
115	0.1502326218
116	0.1496479561
117	0.149077929
118	0.1484980863
119	0.1479212978
120	0.1473760074
121	0.1468545268
122	0.1463358505
123	0.145824862
124	0.1453157957
125	0.1448254498
126	0.144347598
127	0.1438647582
128	0.1434058112
129	0.1429567424
130	0.1425454064
131	0.1421172143
132	0.1416765938
133	0.1412740419
134	0.1408539642
135	0.140487888
136	0.1401253857
137	0.1397673383
138	0.1393833879
139	0.1390380099
140	0.1387161972
141	0.1383768885
142	0.1380299015
143	0.1377083901
144	0.1373905552
145	0.1371040944
146	0.1367926142
147	0.1365003685
148	0.1362058865
149	0.1359349217
150	0.1356378371
151	0.1353144745
152	0.1350338936
153	0.1347533916
154	0.1344765663
155	0.1342283891
156	0.133966177
157	0.1337280604
158	0.1334643023
159	0.1332066674
160	0.1329692265
161	0.1327166792
162	0.132486907
163	0.1322302525
164	0.1320127303
165	0.1318006144
166	0.1316083445
167	0.1314072785
168	0.1311804531
169	0.1309530801
170	0.1307770991
171	0.1305823039
172	0.1303810491
173	0.1301874483
174	0.1299829197
175	0.1298005
176	0.1296293762
177	0.1294408881
178	0.1292752693
179	0.1291157778
180	0.128954669
181	0.1287818732
182	0.1286007822
183	0.1284334791
184	0.1282894595
185	0.1281309998
186	0.1279727479
187	0.1278286066
188	0.1276669804
189	0.127515167
190	0.1273982676
191	0.1272398184
192	0.1271087818
193	0.1269624978
194	0.1268255524
195	0.1266923192
196	0.1265633575
197	0.126444581
198	0.1263308445
199	0.1261971057
