iter	Passed	Remaining
0	8	1593
1	14	1453
2	20	1320
3	25	1244
4	30	1198
5	36	1178
6	42	1160
7	47	1145
8	53	1127
9	58	1115
10	64	1116
11	70	1099
12	74	1078
13	80	1063
14	85	1053
15	90	1043
16	95	1025
17	100	1012
18	104	999
19	109	987
20	114	978
21	119	967
22	123	954
23	128	940
24	133	932
25	137	921
26	142	912
27	147	905
28	152	898
29	157	890
30	161	881
31	166	874
32	171	868
33	176	860
34	181	854
35	186	848
36	191	842
37	195	834
38	201	831
39	206	825
40	211	818
41	216	813
42	221	807
43	225	800
44	231	796
45	235	789
46	240	782
47	244	775
48	250	773
49	255	767
50	260	761
51	266	757
52	270	750
53	275	744
54	279	737
55	284	732
56	289	726
57	294	720
58	300	716
59	304	711
60	309	705
61	315	701
62	319	695
63	324	689
64	329	683
65	334	679
66	338	672
67	344	667
68	348	662
69	353	656
70	358	650
71	363	645
72	368	641
73	373	635
74	378	630
75	383	625
76	387	619
77	392	613
78	397	608
79	402	603
80	407	598
81	412	593
82	417	588
83	422	582
84	426	577
85	431	572
86	436	566
87	441	561
88	445	555
89	450	550
90	455	545
91	460	540
92	464	534
93	469	529
94	474	524
95	479	519
96	485	515
97	489	509
98	495	505
99	500	500
100	505	495
101	510	490
102	515	485
103	520	480
104	524	474
105	530	470
106	534	464
107	539	459
108	544	454
109	549	449
110	554	444
111	559	439
112	564	434
113	569	429
114	574	424
115	580	420
116	584	414
117	589	409
118	594	404
119	599	399
120	605	395
121	609	389
122	614	384
123	619	379
124	624	374
125	629	369
126	634	364
127	639	359
128	644	354
129	649	349
130	654	344
131	659	339
132	665	335
133	669	329
134	674	324
135	679	319
136	683	314
137	688	309
138	693	304
139	699	299
140	703	294
141	708	289
142	713	284
143	717	278
144	721	273
145	727	268
146	731	263
147	736	258
148	740	253
149	746	248
150	751	243
151	755	238
152	761	233
153	766	228
154	771	223
155	776	218
156	781	214
157	786	209
158	791	204
159	796	199
160	801	194
161	806	189
162	811	184
163	816	179
164	821	174
165	827	169
166	831	164
167	836	159
168	842	154
169	846	149
170	851	144
171	856	139
172	862	134
173	866	129
174	871	124
175	875	119
176	880	114
177	885	109
178	890	104
179	896	99
180	901	94
181	907	89
182	912	84
183	917	79
184	922	74
185	927	69
186	932	64
187	937	59
188	942	54
189	947	49
190	952	44
191	956	39
192	961	34
193	966	29
194	971	24
195	976	19
196	980	14
197	985	9
198	990	4
199	995	0
